sample,mode2_peaks_bp,delta_a
SRR26815261,"265,424",159
SRR26842286,"251,424",173
SRR26842277,"250,426",176
SRR26842329,"258,438",180
SRR26842320,"261,445",184
SRR26842273,"264,449",185
SRR26842322,"263,449",186
SRR26842281,"261,449",188
SRR26842285,"246,443",197
SRR26842317,"248,449",201
SRR26842280,"241,449",208
SRR26842302,"235,449",214
SRR26842278,"271,511",240
SRR26842275,"264,512",248
SRR26842306,"320,609",289
SRR26842279,320,448
SRR26842300,320,448
SRR26842301,292,472
SRR26842276,267,494
SRR26842307,235,522
