Number,Run_ID,BioSample_ID,Sample_Name,Cell_Type_or_Disease,Tissue,Sex,Library_Name,Matched_Flow_Cell_ID,Mean_bp,Standard_deviation_bp,Min_bp,Lower_quartile_bp,Median_bp,Upper_quartile_bp,Max_bp,IQR_bp,CV,Percent_telomeres_lt_1kb,Percent_telomeres_gt_10kb
1,SRR26842273,SAMN38257332,G-292,Osteosarcoma,Bone,Female,FAT60863,FAT60863,6202,5545,50,2320,4720,8351,56378,6031,0.89,10.23,18.28
3,SRR26842275,SAMN38257400,U2-OS,Osteosarcoma,Bone,Female,FAW19540_Methylation,FAW19540,8505,9175,50,2253,5395,11466,104101,9213,1.08,10.62,29.15
4,SRR26842276,SAMN38257399,U2-OS,Osteosarcoma,Bone,Female,FAV89509_Methylation,FAV89509,7090,7282,51,2009,4722,9606,134722,7597,1.03,11.93,23.78
5,SRR26842277,SAMN38257398,SK-N-F1,Neuroblastoma,Brain,Male,FAV34018_Methylation,FAV34018,6750,7448,50,2141,4311,8529,108011,6388,1.10,8.65,20.15
6,SRR26842278,SAMN38257397,SK-N-AS,Neuroblastoma,Brain,Female,FAW30055_Methylation,FAW30055,5198,2064,47,3766,5074,6493,26026,2727,0.40,1.19,1.73
7,SRR26842279,SAMN38257396,SK-N-AS,Neuroblastoma,Brain,Female,FAV35348_Methylation,FAV35348,5246,2061,50,3805,5118,6548,20460,2743,0.39,0.94,1.88
8,SRR26842280,SAMN38257395,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAW30048_Methylation,FAW30048,2302,2884,49,619,1434,2800,26053,2181,1.25,37.79,2.97
9,SRR26842281,SAMN38257394,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAV35378_Methylation,FAV35378,2268,2564,51,595,1435,3055,20515,2460,1.13,38.48,2.54
10,SRR26842282,SAMN38257393,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAV21836_Methylation,FAV21836,2035,2442,52,490,1218,2796,20631,2307,1.20,43.32,1.87
11,SRR26842284,SAMN38257392,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAU08605_Methylation,FAU08605,2072,2555,50,556,1333,2619,23465,2063,1.23,41.54,1.78
12,SRR26842285,SAMN38257391,Saos-2,Osteosarcoma,Bone,Female,FAW30039_Methylation,FAW30039,3958,3268,49,1689,3109,5286,52996,3597,0.83,12.83,5.33
13,SRR26842286,SAMN38257390,Saos-2,Osteosarcoma,Bone,Female,FAV92737_Methylation,FAV92737,3945,3296,51,1673,3101,5268,46266,3595,0.84,13.40,5.44
26,SRR26842300,SAMN38257377,HT-29,Colorectal adenocarcinoma,Colon,Female,FAU93874_Methylation,FAU93874,6040,2864,50,3979,5733,7719,46668,3740,0.47,1.23,8.93
27,SRR26842301,SAMN38257376,HT-1080,Fibrosarcoma,Connective tissue,Male,FAV27627_Methylation,FAV27627,3357,1208,50,2582,3240,3974,12853,1392,0.36,1.01,0.05
28,SRR26842302,SAMN38257375,HOS,Osteosarcoma,Bone,Female,FAV28723_Methylation,FAV28723,2755,971,51,2098,2663,3328,14562,1230,0.35,2.11,0.00
31,SRR26842306,SAMN38257372,G-292,Osteosarcoma,Bone,Female,FAW29984_Methylation,FAW29984,6189,5583,50,2278,4669,8393,57078,6115,0.90,10.48,18.35
32,SRR26842307,SAMN38257371,G-292,Osteosarcoma,Bone,Female,FAT60863_Methylation,FAT60863,6202,5545,50,2320,4720,8351,56378,6031,0.89,10.23,18.28
41,SRR26842317,SAMN38257362,Calu-3,Lung adenocarcinoma,Lung,Male,FAW31323_Methylation,FAW31323,1522,817,50,1019,1406,1866,16890,847,0.54,23.84,0.01
42,SRR26842320,SAMN38257359,SK-N-F1,Neuroblastoma,Brain,Male,FAV34018,FAV34018,6750,7448,50,2141,4311,8529,108011,6388,1.10,8.65,20.15
43,SRR26842322,SAMN38257357,SK-N-AS,Neuroblastoma,Brain,Female,FAV35348,FAV35348,5246,2061,50,3805,5118,6548,20460,2743,0.39,0.94,1.88
44,SRR26842324,SAMN38257355,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAV35378,FAV35378,2268,2564,51,595,1435,3055,20515,2460,1.13,38.48,2.54
45,SRR26842325,SAMN38257354,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAV21836,FAV21836,2035,2442,52,490,1218,2796,20631,2307,1.20,43.32,1.87
46,SRR26842326,SAMN38257353,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAU08605,FAU08605,2072,2555,50,556,1333,2619,23465,2063,1.23,41.54,1.78
47,SRR26842329,SAMN38257351,Saos-2,Osteosarcoma,Bone,Female,FAV92737,FAV92737,3945,3296,51,1673,3101,5268,46266,3595,0.84,13.40,5.44
