cutoff,tar1_plus_arms_n,cap_plus_in_tar1_plus,cap_minus_in_tar1_plus,cap_plus_not_tar1_plus,cap_minus_not_tar1_plus,binom_p,fisher_p,odds_ratio_capplus,odds_ratio_capminus,cap_plus_frac_in_tar1_plus
30000,11,3,8,21,14,0.11328125,0.06002101407660115,0.25,4.0,0.2727272727272727
50000,12,3,9,21,13,0.072998046875,0.03091262648834969,0.20634920634920634,4.846153846153847,0.25
70000,12,3,9,21,13,0.072998046875,0.03091262648834969,0.20634920634920634,4.846153846153847,0.25
100000,12,3,9,21,13,0.072998046875,0.03091262648834969,0.20634920634920634,4.846153846153847,0.25
200000,14,4,10,20,12,0.08978271484375,0.035392170389334315,0.24,4.166666666666667,0.2857142857142857
500000,14,4,10,20,12,0.08978271484375,0.035392170389334315,0.24,4.166666666666667,0.2857142857142857
1000000,14,4,10,20,12,0.08978271484375,0.035392170389334315,0.24,4.166666666666667,0.2857142857142857
2000000,14,4,10,20,12,0.08978271484375,0.035392170389334315,0.24,4.166666666666667,0.2857142857142857
3000000,16,5,11,19,11,0.1050567626953125,0.03827975781025019,0.2631578947368421,3.8000000000000003,0.3125
5000000,19,7,12,17,10,0.1796417236328125,0.07373651598292703,0.3431372549019608,2.914285714285714,0.3684210526315789
7000000,21,7,14,17,9,0.09462356567382812,0.028712344006982405,0.2647058823529412,3.7777777777777777,0.3333333333333333
8000000,25,10,15,14,9,0.21217811107635498,0.12382411012582084,0.42857142857142855,2.3333333333333335,0.4
9000000,26,11,15,13,9,0.2785985469818115,0.19257960370570407,0.5076923076923077,1.9696969696969697,0.4230769230769231
10000000,27,12,15,12,9,0.3505540192127228,0.280607470486009,0.6,1.6666666666666667,0.4444444444444444
20000000,29,14,15,10,9,0.5,0.5,0.84,1.1904761904761905,0.4827586206896552
30000000,29,14,15,10,9,0.5,0.5,0.84,1.1904761904761905,0.4827586206896552
40000000,30,15,15,9,9,0.572232224047184,0.6169360349456359,1.0,1.0,0.5
50000000,30,15,15,9,9,0.572232224047184,0.6169360349456359,1.0,1.0,0.5
60000000,30,15,15,9,9,0.572232224047184,0.6169360349456359,1.0,1.0,0.5
70000000,30,15,15,9,9,0.572232224047184,0.6169360349456359,1.0,1.0,0.5
80000000,30,15,15,9,9,0.572232224047184,0.6169360349456359,1.0,1.0,0.5
90000000,30,15,15,9,9,0.572232224047184,0.6169360349456359,1.0,1.0,0.5
100000000,30,15,15,9,9,0.572232224047184,0.6169360349456359,1.0,1.0,0.5
