sample,mode2_peaks_bp,delta_a,Number,Run_ID,BioSample_ID,Sample_Name,Cell_Type_or_Disease,Tissue,Sex,Library_Name,Matched_Flow_Cell_ID,Mean_bp,Standard_deviation_bp,Min_bp,Lower_quartile_bp,Median_bp,Upper_quartile_bp,Max_bp,IQR_bp,CV,Percent_telomeres_lt_1kb,Percent_telomeres_gt_10kb,TMM_Status,Doubling_Time
SRR26842286,"251,424",173,13,SRR26842286,SAMN38257390,Saos-2,Osteosarcoma,Bone,Female,FAV92737_Methylation,FAV92737,3945,3296,51,1673,3101,5268,46266,3595,0.84,13.4,5.44,ALT,99.13
SRR26842277,"250,426",176,5,SRR26842277,SAMN38257398,SK-N-F1,Neuroblastoma,Brain,Male,FAV34018_Methylation,FAV34018,6750,7448,50,2141,4311,8529,108011,6388,1.1,8.65,20.15,ALT,97.22
SRR26842329,"258,438",180,47,SRR26842329,SAMN38257351,Saos-2,Osteosarcoma,Bone,Female,FAV92737,FAV92737,3945,3296,51,1673,3101,5268,46266,3595,0.84,13.4,5.44,ALT,99.13
SRR26842320,"261,445",184,42,SRR26842320,SAMN38257359,SK-N-F1,Neuroblastoma,Brain,Male,FAV34018,FAV34018,6750,7448,50,2141,4311,8529,108011,6388,1.1,8.65,20.15,ALT,97.22
SRR26842273,"264,449",185,1,SRR26842273,SAMN38257332,G-292,Osteosarcoma,Bone,Female,FAT60863,FAT60863,6202,5545,50,2320,4720,8351,56378,6031,0.89,10.23,18.28,ALT,102.19
SRR26842322,"263,449",186,43,SRR26842322,SAMN38257357,SK-N-AS,Neuroblastoma,Brain,Female,FAV35348,FAV35348,5246,2061,50,3805,5118,6548,20460,2743,0.39,0.94,1.88,ALT,46.57
SRR26842281,"261,449",188,9,SRR26842281,SAMN38257394,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAV35378_Methylation,FAV35378,2268,2564,51,595,1435,3055,20515,2460,1.13,38.48,2.54,TERT,98.21
SRR26842285,"246,443",197,12,SRR26842285,SAMN38257391,Saos-2,Osteosarcoma,Bone,Female,FAW30039_Methylation,FAW30039,3958,3268,49,1689,3109,5286,52996,3597,0.83,12.83,5.33,ALT,99.13
SRR26842317,"248,449",201,41,SRR26842317,SAMN38257362,Calu-3,Lung adenocarcinoma,Lung,Male,FAW31323_Methylation,FAW31323,1522,817,50,1019,1406,1866,16890,847,0.54,23.84,0.01,TERT,105.83
SRR26842280,"241,449",208,8,SRR26842280,SAMN38257395,SK-LU-1,Lung adenocarcinoma,Lung,Female,FAW30048_Methylation,FAW30048,2302,2884,49,619,1434,2800,26053,2181,1.25,37.79,2.97,TERT,98.21
SRR26842302,"235,449",214,28,SRR26842302,SAMN38257375,HOS,Osteosarcoma,Bone,Female,FAV28723_Methylation,FAV28723,2755,971,51,2098,2663,3328,14562,1230,0.35,2.11,0.0,TERT,41.06
SRR26842278,"271,511",240,6,SRR26842278,SAMN38257397,SK-N-AS,Neuroblastoma,Brain,Female,FAW30055_Methylation,FAW30055,5198,2064,47,3766,5074,6493,26026,2727,0.4,1.19,1.73,ALT,46.57
SRR26842275,"264,512",248,3,SRR26842275,SAMN38257400,U2-OS,Osteosarcoma,Bone,Female,FAW19540_Methylation,FAW19540,8505,9175,50,2253,5395,11466,104101,9213,1.08,10.62,29.15,ALT,71.88
SRR26842306,"320,609",289,31,SRR26842306,SAMN38257372,G-292,Osteosarcoma,Bone,Female,FAW29984_Methylation,FAW29984,6189,5583,50,2278,4669,8393,57078,6115,0.9,10.48,18.35,ALT,102.19
SRR26842279,320,448,7,SRR26842279,SAMN38257396,SK-N-AS,Neuroblastoma,Brain,Female,FAV35348_Methylation,FAV35348,5246,2061,50,3805,5118,6548,20460,2743,0.39,0.94,1.88,ALT,46.57
SRR26842300,320,448,26,SRR26842300,SAMN38257377,HT-29,Colorectal adenocarcinoma,Colon,Female,FAU93874_Methylation,FAU93874,6040,2864,50,3979,5733,7719,46668,3740,0.47,1.23,8.93,TERT,28.35
SRR26842301,292,472,27,SRR26842301,SAMN38257376,HT-1080,Fibrosarcoma,Connective tissue,Male,FAV27627_Methylation,FAV27627,3357,1208,50,2582,3240,3974,12853,1392,0.36,1.01,0.05,TERT,78.31
SRR26842276,267,494,4,SRR26842276,SAMN38257399,U2-OS,Osteosarcoma,Bone,Female,FAV89509_Methylation,FAV89509,7090,7282,51,2009,4722,9606,134722,7597,1.03,11.93,23.78,ALT,71.88
SRR26842307,235,522,32,SRR26842307,SAMN38257371,G-292,Osteosarcoma,Bone,Female,FAT60863_Methylation,FAT60863,6202,5545,50,2320,4720,8351,56378,6031,0.89,10.23,18.28,ALT,102.19
