position,match_count,is_threshold_peak,threshold
0,20,0,17
1,19,0,17
2,19,0,17
3,20,1,17
4,18,0,17
5,16,0,17
6,17,0,17
7,17,0,17
8,16,0,17
9,16,0,17
10,16,0,17
11,15,0,17
12,13,0,17
13,14,0,17
14,15,0,17
15,15,0,17
16,15,0,17
17,15,0,17
18,15,0,17
19,15,0,17
20,15,0,17
21,15,0,17
22,16,0,17
23,17,0,17
24,17,0,17
25,17,0,17
26,19,0,17
27,19,0,17
28,18,0,17
29,18,0,17
30,17,0,17
31,17,0,17
32,16,0,17
33,17,1,17
34,16,0,17
35,17,0,17
36,17,0,17
37,19,1,17
38,17,0,17
39,17,0,17
40,16,0,17
41,15,0,17
42,16,0,17
43,16,0,17
44,16,0,17
45,16,0,17
46,16,0,17
47,16,0,17
48,16,0,17
49,17,0,17
50,18,0,17
51,18,0,17
52,19,0,17
53,19,0,17
54,18,0,17
55,16,0,17
56,16,0,17
57,17,0,17
58,17,0,17
59,16,0,17
60,15,0,17
61,16,0,17
62,17,1,17
63,16,0,17
64,16,0,17
65,16,0,17
66,17,1,17
67,16,0,17
68,18,0,17
69,20,0,17
70,20,0,17
71,20,0,17
72,20,0,17
73,19,0,17
74,17,0,17
75,15,0,17
76,15,0,17
77,14,0,17
78,14,0,17
79,15,0,17
80,15,0,17
81,15,0,17
82,16,0,17
83,17,0,17
84,17,0,17
85,17,0,17
86,16,0,17
87,18,0,17
88,18,0,17
89,18,0,17
90,18,0,17
91,17,0,17
92,17,0,17
93,19,1,17
94,18,0,17
95,18,0,17
96,17,0,17
97,17,0,17
98,16,0,17
99,16,0,17
100,15,0,17
101,15,0,17
102,15,0,17
103,15,0,17
104,16,0,17
105,18,1,17
106,16,0,17
107,16,0,17
108,16,0,17
109,15,0,17
110,14,0,17
111,15,0,17
112,16,0,17
113,16,0,17
114,16,0,17
115,17,1,17
116,16,0,17
117,16,0,17
118,18,0,17
119,18,0,17
120,17,0,17
121,17,0,17
122,17,0,17
123,19,1,17
124,18,0,17
125,18,0,17
126,18,0,17
127,17,0,17
128,17,0,17
129,17,0,17
130,15,0,17
131,17,1,17
132,16,0,17
133,15,0,17
134,15,0,17
135,15,0,17
136,14,0,17
137,14,0,17
138,14,0,17
139,13,0,17
140,13,0,17
141,13,0,17
142,14,0,17
143,15,0,17
144,16,0,17
145,16,0,17
146,16,0,17
147,17,0,17
148,19,0,17
149,19,0,17
150,18,0,17
151,17,0,17
152,16,0,17
153,15,0,17
154,17,1,17
155,16,0,17
156,16,0,17
157,15,0,17
158,14,0,17
159,14,0,17
160,14,0,17
161,16,0,17
162,15,0,17
163,15,0,17
164,15,0,17
165,15,0,17
166,15,0,17
167,16,0,17
168,15,0,17
169,15,0,17
170,15,0,17
171,16,0,17
172,14,0,17
173,16,0,17
174,17,0,17
175,17,0,17
176,16,0,17
177,16,0,17
178,15,0,17
179,15,0,17
180,17,0,17
181,17,0,17
182,17,0,17
183,17,0,17
184,17,0,17
185,19,0,17
186,20,0,17
187,21,1,17
188,20,0,17
189,20,0,17
190,19,0,17
191,17,0,17
192,15,0,17
193,15,0,17
194,15,0,17
195,15,0,17
196,15,0,17
197,15,0,17
198,14,0,17
199,14,0,17
200,16,0,17
201,17,0,17
202,19,1,17
203,18,0,17
204,18,0,17
205,18,0,17
206,17,0,17
207,17,0,17
208,17,0,17
209,17,0,17
210,17,0,17
211,15,0,17
212,16,0,17
213,18,1,17
214,17,0,17
215,18,0,17
216,18,0,17
217,16,0,17
218,16,0,17
219,15,0,17
220,15,0,17
221,15,0,17
222,17,1,17
223,16,0,17
224,16,0,17
225,16,0,17
