group,position_bp,cluster0_density,cluster1_density,cluster0_total,cluster1_total,n_sequences_in_group
Age 0,500,1.5356374242538736e-05,0.00024760495318325103,24680305,40952331,114910
Age 0,501,1.5356374242538736e-05,0.00024772704635543213,24680305,40952331,114910
Age 0,502,1.5396892380381846e-05,0.0002477758836243046,24680305,40952331,114910
Age 0,503,1.543741051822496e-05,0.0002476537904521235,24680305,40952331,114910
Age 0,504,1.543741051822496e-05,0.00024762937181768723,24680305,40952331,114910
Age 0,505,1.5477928656068068e-05,0.0002475561159143786,24680305,40952331,114910
Age 0,506,1.5518446793911177e-05,0.0002474096041077613,24680305,40952331,114910
Age 0,507,1.5518446793911177e-05,0.00024736076683888885,24680305,40952331,114910
Age 0,508,1.5518446793911177e-05,0.0002474096041077613,24680305,40952331,114910
Age 0,509,1.5518446793911177e-05,0.00024733634820445265,24680305,40952331,114910
Age 0,510,1.5518446793911177e-05,0.0002472875109355802,24680305,40952331,114910
Age 0,511,1.5518446793911177e-05,0.00024723867366670775,24680305,40952331,114910
Age 0,512,1.5558964931754287e-05,0.00024723867366670775,24680305,40952331,114910
Age 0,513,1.5558964931754287e-05,0.0002471409991289629,24680305,40952331,114910
Age 0,514,1.5599483069597396e-05,0.00024709216186009046,24680305,40952331,114910
Age 0,515,1.5599483069597396e-05,0.0002471654177633991,24680305,40952331,114910
Age 0,516,1.564000120744051e-05,0.00024699448732234556,24680305,40952331,114910
Age 0,517,1.564000120744051e-05,0.00024697006868790937,24680305,40952331,114910
Age 0,518,1.564000120744051e-05,0.00024694565005347317,24680305,40952331,114910
Age 0,519,1.564000120744051e-05,0.0002467258823435472,24680305,40952331,114910
Age 0,520,1.564000120744051e-05,0.00024662820780580233,24680305,40952331,114910
Age 0,521,1.564000120744051e-05,0.00024662820780580233,24680305,40952331,114910
Age 0,522,1.564000120744051e-05,0.0002467747196124196,24680305,40952331,114910
Age 0,523,1.5680519345283618e-05,0.00024665262644023853,24680305,40952331,114910
Age 0,524,1.5680519345283618e-05,0.00024655495190249364,24680305,40952331,114910
Age 0,525,1.5680519345283618e-05,0.00024640844009587634,24680305,40952331,114910
Age 0,526,1.5680519345283618e-05,0.0002462375096548228,24680305,40952331,114910
Age 0,527,1.5721037483126728e-05,0.0002462130910203866,24680305,40952331,114910
Age 0,528,1.5721037483126728e-05,0.0002460665792137693,24680305,40952331,114910
Age 0,529,1.5721037483126728e-05,0.00024601774194489686,24680305,40952331,114910
