record_id,signal_type,start_kmer_idx,end_kmer_idx,start_base,end_base,run_kmer_len,scale_used,mean_atcg
chr16q,strong,1004,1004,1004,1023,1,398.0,1.3529411764705883
chr16q,strong,1223,1223,1223,1242,1,398.0,2.076923076923077
chr16q,strong,1441,1441,1441,1460,1,398.0,1.5
chr16q,strong,1665,1665,1665,1684,1,398.0,1.2222222222222223
chr16q,strong,1883,1883,1883,1902,1,398.0,1.6666666666666667
chr16q,strong,2107,2107,2107,2126,1,398.0,1.8571428571428572
chr16q,strong,2337,2337,2337,2356,1,398.0,1.3529411764705883
chr16q,strong,2570,2570,2570,2589,1,398.0,1.8571428571428572
chr16q,strong,2819,2819,2819,2838,1,398.0,1.6666666666666667
chr16q,strong,3062,3062,3062,3081,1,398.0,1.5
chr16q,strong,3756,3779,3756,3798,24,398.0,2.1882561882561884
chr16q,strong,4005,4005,4005,4024,1,398.0,1.5
chr16q,strong,4254,4254,4254,4273,1,398.0,1.3529411764705883
chr16q,strong,4511,4511,4511,4530,1,398.0,1.6666666666666667
chr16q,strong,4734,4734,4734,4753,1,398.0,1.6666666666666667
chr16q,strong,5038,5038,5038,5057,1,398.0,1.8571428571428572
chr16q,strong,5287,5287,5287,5306,1,398.0,1.8571428571428572
chr16q,strong,5894,5894,5894,5913,1,398.0,2.076923076923077
chr16q,strong,6118,6118,6118,6137,1,398.0,2.076923076923077
chr16q,strong,6365,6365,6365,6384,1,398.0,1.3529411764705883
chr16q,strong,6598,6598,6598,6617,1,398.0,1.8571428571428572
chr16q,strong,6847,6847,6847,6866,1,398.0,1.6666666666666667
chr16q,strong,7096,7096,7096,7115,1,398.0,1.105263157894737
chr16q,strong,7181,7181,7181,7200,1,398.0,2.6363636363636362
chr16q,strong,7446,7446,7446,7465,1,398.0,1.5
chr16q,strong,7757,7757,7757,7776,1,398.0,1.5
chr16q,strong,8383,8383,8383,8402,1,398.0,1.6666666666666667
chr16q,strong,8607,8607,8607,8626,1,398.0,1.8571428571428572
chr16q,strong,8875,8875,8875,8894,1,398.0,1.5
chr16q,strong,9183,9214,9183,9233,32,398.0,1.9484890109890112
chr16q,strong,9519,9519,9519,9538,1,398.0,1.5
chr16q,strong,9768,9768,9768,9787,1,398.0,1.6666666666666667
chr16q,strong,10364,10364,10364,10383,1,398.0,1.5
chr16q,strong,10588,10588,10588,10607,1,398.0,1.5
chr16q,strong,10837,10837,10837,10856,1,398.0,1.6666666666666667
chr16q,strong,11061,11061,11061,11080,1,398.0,1.8571428571428572
chr16q,strong,11316,11316,11316,11335,1,398.0,2.076923076923077
chr16q,strong,11565,11565,11565,11584,1,398.0,1.6666666666666667
chr16q,strong,12031,12031,12031,12050,1,398.0,1.5
chr16q,strong,12280,12280,12280,12299,1,398.0,1.0
chr16q,strong,12519,12533,12519,12552,15,398.0,1.8796092796092798
chr16q,strong,12758,12782,12758,12801,25,398.0,1.5678931113606038
chr16q,strong,13032,13032,13032,13051,1,398.0,1.8571428571428572
chr16q,strong,13343,13343,13343,13362,1,398.0,1.8571428571428572
chr16q,strong,13629,13629,13629,13648,1,398.0,1.3529411764705883
chr16q,strong,13909,13909,13909,13928,1,398.0,1.8571428571428572
chr16q,strong,14158,14158,14158,14177,1,398.0,1.8571428571428572
chr16q,strong,14799,14799,14799,14818,1,398.0,1.5
chr16q,strong,15048,15048,15048,15067,1,398.0,1.6666666666666667
chr16q,strong,15236,15236,15236,15255,1,398.0,2.076923076923077
chr16q,strong,15472,15472,15472,15491,1,398.0,1.6666666666666667
chr16q,strong,15696,15696,15696,15715,1,398.0,2.3333333333333335
chr16q,strong,15908,15908,15908,15927,1,398.0,2.076923076923077
chr16q,strong,16152,16152,16152,16171,1,398.0,1.3529411764705883
chr16q,strong,16363,16363,16363,16382,1,398.0,1.3529411764705883
chr16q,strong,17081,17081,17081,17100,1,398.0,1.6666666666666667
chr16q,strong,17268,17312,17268,17331,45,398.0,1.437929245772383
chr16q,strong,17542,17542,17542,17561,1,398.0,2.076923076923077
chr16q,strong,17789,17789,17789,17808,1,398.0,1.3529411764705883
chr16q,strong,18044,18044,18044,18063,1,398.0,1.105263157894737
chr16q,strong,18305,18324,18305,18343,20,398.0,1.7945970695970694
chr16q,strong,19614,19614,19614,19633,1,398.0,1.6666666666666667
chr16q,strong,19833,19833,19833,19852,1,398.0,1.5
chr16q,strong,20063,20063,20063,20082,1,398.0,2.3333333333333335
chr16q,strong,20281,20281,20281,20300,1,398.0,1.5
chr16q,strong,20495,20495,20495,20514,1,398.0,1.5
chr16q,strong,20694,20694,20694,20713,1,398.0,1.5
chr16q,strong,20876,20876,20876,20895,1,398.0,1.8571428571428572
chr16q,strong,21098,21098,21098,21117,1,398.0,1.8571428571428572
chr16q,strong,21332,21332,21332,21351,1,398.0,1.2222222222222223
chr16q,strong,21569,21569,21569,21588,1,398.0,2.3333333333333335
chr16q,strong,21824,21824,21824,21843,1,398.0,3.0
chr16q,strong,22067,22073,22067,22092,7,398.0,1.2782446311858078
chr16q,strong,22340,22340,22340,22359,1,398.0,2.076923076923077
chr16q,strong,22603,22603,22603,22622,1,398.0,2.076923076923077
chr16q,strong,22894,22894,22894,22913,1,398.0,1.8571428571428572
chr16q,strong,23143,23143,23143,23162,1,398.0,1.6666666666666667
chr16q,strong,23392,23392,23392,23411,1,398.0,2.3333333333333335
chr16q,strong,23641,23641,23641,23660,1,398.0,1.5
chr16q,strong,23865,23865,23865,23884,1,398.0,1.3529411764705883
chr16q,strong,24091,24091,24091,24110,1,398.0,1.8571428571428572
chr16q,strong,24307,24307,24307,24326,1,398.0,1.8571428571428572
chr16q,strong,24537,24537,24537,24556,1,398.0,1.3529411764705883
chr16q,strong,24778,24778,24778,24797,1,398.0,2.076923076923077
