panel,species,record_id,header,motif_name,motif_len,profile_length,global_peak,threshold,n_threshold_peaks
F1D,human,chr20q,chr20q:3152-4565,61bp,61,1354,36,28,101
F1D,human,chr20q,chr20q:3152-4565,40bp,40,1375,25,20,79
F1D,human,chr20q,chr20q:3152-4565,29bp,29,1386,20,16,102
F1D,human,chr20q,chr20q:3152-4565,37bp,37,1378,22,17,149
F1E,human,chr3p,chr3p:2687-3424,61bp,61,678,33,26,47
F1E,human,chr3p,chr3p:2687-3424,40bp,40,699,28,22,48
F1E,human,chr3p,chr3p:2687-3424,29bp,29,710,28,22,25
F1E,human,chr3p,chr3p:2687-3424,37bp,37,702,22,17,24
F1F,human,chr17p,chr17p:39413-40363,61bp,61,891,51,40,4
F1F,human,chr17p,chr17p:39413-40363,40bp,40,912,35,28,1
F1F,human,chr17p,chr17p:39413-40363,29bp,29,923,26,20,4
F1F,human,chr17p,chr17p:39413-40363,37bp,37,915,22,17,85
F1G,human,chr8p,chr8p:2518-4108,61bp,61,1531,56,44,5
F1G,human,chr8p,chr8p:2518-4108,40bp,40,1552,35,28,4
F1G,human,chr8p,chr8p:2518-4108,29bp,29,1563,26,20,9
F1G,human,chr8p,chr8p:2518-4108,37bp,37,1555,30,24,3
F1H,gorilla,chr2p,chr2p:9786325-9787542|merged_n=2|seq_len=1219,61bp,61,1159,58,46,1
F1H,gorilla,chr2p,chr2p:9786325-9787542|merged_n=2|seq_len=1219,40bp,40,1180,30,24,61
F1H,gorilla,chr2p,chr2p:9786325-9787542|merged_n=2|seq_len=1219,29bp,29,1191,28,22,17
F1H,gorilla,chr2p,chr2p:9786325-9787542|merged_n=2|seq_len=1219,37bp,37,1183,29,23,2
