position,match_count,is_threshold_peak,threshold
0,9,0,20
1,9,0,20
2,9,0,20
3,8,0,20
4,7,0,20
5,7,0,20
6,6,0,20
7,7,0,20
8,8,0,20
9,9,0,20
10,9,0,20
11,8,0,20
12,8,0,20
13,10,0,20
14,8,0,20
15,8,0,20
16,10,0,20
17,9,0,20
18,9,0,20
19,9,0,20
20,9,0,20
21,9,0,20
22,9,0,20
23,10,0,20
24,10,0,20
25,10,0,20
26,11,0,20
27,11,0,20
28,10,0,20
29,10,0,20
30,11,0,20
31,10,0,20
32,11,0,20
33,10,0,20
34,10,0,20
35,10,0,20
36,10,0,20
37,9,0,20
38,9,0,20
39,10,0,20
40,8,0,20
41,9,0,20
42,9,0,20
43,10,0,20
44,11,0,20
45,12,0,20
46,11,0,20
47,10,0,20
48,10,0,20
49,11,0,20
50,11,0,20
51,10,0,20
52,11,0,20
53,10,0,20
54,9,0,20
55,9,0,20
56,10,0,20
57,12,0,20
58,13,0,20
59,13,0,20
60,12,0,20
61,12,0,20
62,12,0,20
63,13,0,20
64,13,0,20
65,13,0,20
66,13,0,20
67,12,0,20
68,13,0,20
69,12,0,20
70,11,0,20
71,12,0,20
72,12,0,20
73,12,0,20
74,12,0,20
75,13,0,20
76,11,0,20
77,12,0,20
78,14,0,20
79,13,0,20
80,12,0,20
81,11,0,20
82,10,0,20
83,11,0,20
84,12,0,20
85,13,0,20
86,12,0,20
87,14,0,20
88,15,0,20
89,15,0,20
90,14,0,20
91,12,0,20
92,13,0,20
93,12,0,20
94,11,0,20
95,12,0,20
96,12,0,20
97,12,0,20
98,11,0,20
99,11,0,20
100,12,0,20
101,10,0,20
102,11,0,20
103,13,0,20
104,13,0,20
105,13,0,20
106,11,0,20
107,12,0,20
108,13,0,20
109,15,0,20
110,17,0,20
111,17,0,20
112,15,0,20
113,13,0,20
114,13,0,20
115,12,0,20
116,13,0,20
117,12,0,20
118,12,0,20
119,12,0,20
120,13,0,20
121,13,0,20
122,11,0,20
123,10,0,20
124,9,0,20
125,9,0,20
126,8,0,20
127,8,0,20
128,9,0,20
129,9,0,20
130,9,0,20
131,7,0,20
132,7,0,20
133,7,0,20
134,7,0,20
135,7,0,20
136,9,0,20
137,9,0,20
138,10,0,20
139,9,0,20
140,11,0,20
141,9,0,20
142,8,0,20
143,8,0,20
144,9,0,20
145,10,0,20
146,10,0,20
147,10,0,20
148,9,0,20
149,8,0,20
150,9,0,20
151,8,0,20
152,9,0,20
153,9,0,20
154,10,0,20
155,9,0,20
156,7,0,20
157,8,0,20
158,8,0,20
159,9,0,20
160,10,0,20
161,11,0,20
162,10,0,20
163,11,0,20
164,10,0,20
165,9,0,20
166,10,0,20
167,12,0,20
168,11,0,20
169,11,0,20
170,11,0,20
171,10,0,20
172,8,0,20
173,9,0,20
174,9,0,20
175,8,0,20
176,8,0,20
177,9,0,20
178,9,0,20
179,8,0,20
180,9,0,20
181,10,0,20
182,11,0,20
183,10,0,20
184,10,0,20
185,10,0,20
186,9,0,20
187,9,0,20
188,10,0,20
189,11,0,20
190,11,0,20
191,12,0,20
192,11,0,20
193,12,0,20
194,12,0,20
195,10,0,20
196,10,0,20
197,9,0,20
198,10,0,20
199,11,0,20
200,12,0,20
201,12,0,20
202,12,0,20
203,11,0,20
204,10,0,20
205,10,0,20
206,9,0,20
207,9,0,20
208,9,0,20
209,9,0,20
210,8,0,20
211,9,0,20
212,9,0,20
213,8,0,20
214,9,0,20
215,9,0,20
216,9,0,20
217,9,0,20
218,9,0,20
219,11,0,20
220,13,0,20
221,12,0,20
222,13,0,20
223,13,0,20
224,12,0,20
225,12,0,20
226,11,0,20
227,12,0,20
228,11,0,20
229,12,0,20
230,14,0,20
231,14,0,20
232,15,0,20
233,16,0,20
234,14,0,20
235,14,0,20
236,14,0,20
237,15,0,20
238,16,0,20
239,16,0,20
240,15,0,20
241,16,0,20
242,14,0,20
243,13,0,20
244,13,0,20
245,12,0,20
246,11,0,20
247,12,0,20
248,13,0,20
249,15,0,20
250,13,0,20
251,13,0,20
252,14,0,20
253,12,0,20
254,11,0,20
255,10,0,20
256,10,0,20
257,12,0,20
258,13,0,20
259,13,0,20
260,13,0,20
261,12,0,20
262,14,0,20
263,15,0,20
264,17,0,20
265,15,0,20
266,15,0,20
267,14,0,20
268,14,0,20
269,14,0,20
270,14,0,20
271,12,0,20
272,12,0,20
273,12,0,20
274,11,0,20
275,10,0,20
276,11,0,20
277,12,0,20
278,11,0,20
279,12,0,20
280,10,0,20
281,9,0,20
282,9,0,20
283,10,0,20
284,9,0,20
285,8,0,20
286,8,0,20
287,9,0,20
288,10,0,20
289,11,0,20
290,11,0,20
291,11,0,20
292,10,0,20
293,10,0,20
294,10,0,20
295,11,0,20
296,13,0,20
297,13,0,20
298,12,0,20
299,12,0,20
300,11,0,20
301,10,0,20
302,10,0,20
303,10,0,20
304,11,0,20
305,11,0,20
306,11,0,20
307,10,0,20
308,11,0,20
309,12,0,20
310,13,0,20
311,13,0,20
312,15,0,20
313,15,0,20
314,14,0,20
315,13,0,20
316,14,0,20
317,13,0,20
318,13,0,20
319,13,0,20
320,13,0,20
321,13,0,20
322,12,0,20
323,13,0,20
324,14,0,20
325,14,0,20
326,13,0,20
327,12,0,20
328,11,0,20
329,12,0,20
330,12,0,20
331,12,0,20
332,12,0,20
333,13,0,20
334,14,0,20
335,15,0,20
336,14,0,20
337,14,0,20
338,14,0,20
339,15,0,20
340,16,0,20
341,16,0,20
342,17,0,20
343,16,0,20
344,14,0,20
345,14,0,20
346,14,0,20
347,13,0,20
348,14,0,20
349,14,0,20
350,14,0,20
351,14,0,20
352,14,0,20
353,13,0,20
354,14,0,20
355,14,0,20
356,15,0,20
357,14,0,20
358,14,0,20
359,14,0,20
360,15,0,20
361,15,0,20
362,16,0,20
363,15,0,20
364,14,0,20
365,15,0,20
366,16,0,20
367,17,0,20
368,18,0,20
369,17,0,20
370,17,0,20
371,16,0,20
372,15,0,20
373,14,0,20
374,13,0,20
375,13,0,20
376,12,0,20
377,12,0,20
378,12,0,20
379,12,0,20
380,11,0,20
381,12,0,20
382,12,0,20
383,11,0,20
384,10,0,20
385,9,0,20
386,9,0,20
387,11,0,20
388,11,0,20
389,11,0,20
390,11,0,20
391,12,0,20
392,14,0,20
393,14,0,20
394,15,0,20
395,15,0,20
396,14,0,20
397,14,0,20
398,15,0,20
399,16,0,20
400,15,0,20
401,15,0,20
402,14,0,20
403,13,0,20
404,12,0,20
405,11,0,20
406,11,0,20
407,11,0,20
408,11,0,20
409,12,0,20
410,11,0,20
411,12,0,20
412,12,0,20
413,12,0,20
414,13,0,20
415,12,0,20
416,11,0,20
417,13,0,20
418,13,0,20
419,12,0,20
420,12,0,20
421,12,0,20
422,11,0,20
423,11,0,20
424,12,0,20
425,13,0,20
426,12,0,20
427,10,0,20
428,11,0,20
429,12,0,20
430,12,0,20
431,11,0,20
432,11,0,20
433,11,0,20
434,11,0,20
435,11,0,20
436,12,0,20
437,13,0,20
438,14,0,20
439,14,0,20
440,14,0,20
441,15,0,20
442,14,0,20
443,14,0,20
444,14,0,20
445,15,0,20
446,16,0,20
447,15,0,20
448,14,0,20
449,13,0,20
450,13,0,20
451,12,0,20
452,13,0,20
453,14,0,20
454,14,0,20
455,13,0,20
456,12,0,20
457,14,0,20
458,16,0,20
459,16,0,20
460,16,0,20
461,15,0,20
462,16,0,20
463,17,0,20
464,16,0,20
465,16,0,20
466,15,0,20
467,15,0,20
468,13,0,20
469,13,0,20
470,14,0,20
471,13,0,20
472,12,0,20
473,11,0,20
474,11,0,20
475,12,0,20
476,11,0,20
477,10,0,20
478,9,0,20
479,11,0,20
480,11,0,20
481,11,0,20
482,11,0,20
483,13,0,20
484,14,0,20
485,15,0,20
486,15,0,20
487,14,0,20
488,13,0,20
489,13,0,20
490,13,0,20
491,14,0,20
492,15,0,20
493,15,0,20
494,14,0,20
495,14,0,20
496,14,0,20
497,15,0,20
498,16,0,20
499,16,0,20
500,15,0,20
501,15,0,20
502,14,0,20
503,14,0,20
504,16,0,20
505,16,0,20
506,16,0,20
507,16,0,20
508,18,0,20
509,20,0,20
510,22,0,20
511,24,0,20
512,26,1,20
513,24,0,20
514,22,0,20
515,21,0,20
516,21,0,20
517,22,1,20
518,21,0,20
519,20,0,20
520,19,0,20
521,17,0,20
522,18,0,20
523,16,0,20
524,17,0,20
525,17,0,20
526,15,0,20
527,16,0,20
528,17,0,20
529,15,0,20
530,16,0,20
531,17,0,20
532,18,0,20
533,19,0,20
534,20,1,20
535,19,0,20
536,20,1,20
537,19,0,20
538,20,0,20
539,21,0,20
540,22,0,20
541,23,1,20
542,21,0,20
543,20,0,20
544,18,0,20
545,18,0,20
546,18,0,20
547,18,0,20
548,18,0,20
549,17,0,20
550,16,0,20
551,15,0,20
552,15,0,20
553,16,0,20
554,17,0,20
555,16,0,20
556,15,0,20
557,14,0,20
558,16,0,20
559,17,0,20
560,18,0,20
561,17,0,20
562,16,0,20
563,16,0,20
564,17,0,20
565,19,0,20
566,19,0,20
567,18,0,20
568,17,0,20
569,17,0,20
570,17,0,20
571,18,0,20
572,17,0,20
573,16,0,20
574,17,0,20
575,15,0,20
576,14,0,20
577,15,0,20
578,15,0,20
579,16,0,20
580,15,0,20
581,13,0,20
582,13,0,20
583,11,0,20
584,12,0,20
585,14,0,20
586,15,0,20
587,15,0,20
588,14,0,20
589,15,0,20
590,14,0,20
591,15,0,20
592,16,0,20
593,16,0,20
594,17,0,20
595,17,0,20
596,17,0,20
597,16,0,20
598,16,0,20
599,15,0,20
600,13,0,20
601,14,0,20
602,15,0,20
603,15,0,20
604,15,0,20
605,15,0,20
606,14,0,20
607,14,0,20
608,14,0,20
609,14,0,20
610,14,0,20
611,14,0,20
612,14,0,20
613,16,0,20
614,17,0,20
615,18,0,20
616,18,0,20
617,19,0,20
618,18,0,20
619,16,0,20
620,16,0,20
621,16,0,20
622,16,0,20
623,16,0,20
624,16,0,20
625,16,0,20
626,17,0,20
627,17,0,20
628,16,0,20
629,16,0,20
630,17,0,20
631,18,0,20
632,16,0,20
633,17,0,20
634,18,0,20
635,19,0,20
636,19,0,20
637,20,0,20
638,20,0,20
639,21,1,20
640,20,0,20
641,20,0,20
642,22,0,20
643,23,0,20
644,25,1,20
645,24,0,20
646,24,0,20
647,22,0,20
648,20,0,20
649,18,0,20
650,19,0,20
651,20,1,20
652,18,0,20
653,17,0,20
654,17,0,20
655,15,0,20
656,16,0,20
657,18,0,20
658,17,0,20
659,16,0,20
660,15,0,20
661,14,0,20
662,16,0,20
663,18,0,20
664,17,0,20
665,17,0,20
666,17,0,20
667,15,0,20
668,16,0,20
669,16,0,20
670,16,0,20
671,17,0,20
672,15,0,20
673,16,0,20
674,16,0,20
675,15,0,20
676,15,0,20
677,14,0,20
678,15,0,20
679,13,0,20
680,14,0,20
681,14,0,20
682,14,0,20
683,14,0,20
684,15,0,20
685,16,0,20
686,14,0,20
687,14,0,20
688,14,0,20
689,13,0,20
690,15,0,20
691,17,0,20
692,17,0,20
693,16,0,20
694,15,0,20
695,16,0,20
696,15,0,20
697,13,0,20
698,15,0,20
699,15,0,20
700,14,0,20
701,13,0,20
702,12,0,20
703,12,0,20
704,12,0,20
705,14,0,20
706,13,0,20
707,14,0,20
708,13,0,20
709,14,0,20
710,15,0,20
711,16,0,20
712,16,0,20
713,15,0,20
714,16,0,20
715,16,0,20
716,16,0,20
717,16,0,20
718,17,0,20
719,18,0,20
720,19,0,20
721,19,0,20
722,18,0,20
723,16,0,20
724,16,0,20
725,16,0,20
726,15,0,20
727,15,0,20
728,15,0,20
729,16,0,20
730,16,0,20
731,16,0,20
732,17,0,20
733,18,0,20
734,16,0,20
735,17,0,20
736,18,0,20
737,18,0,20
738,19,0,20
739,18,0,20
740,17,0,20
741,17,0,20
742,18,0,20
743,19,0,20
744,18,0,20
745,18,0,20
746,17,0,20
747,15,0,20
748,14,0,20
749,15,0,20
750,16,0,20
751,16,0,20
752,15,0,20
753,13,0,20
754,12,0,20
755,13,0,20
756,15,0,20
757,14,0,20
758,13,0,20
759,13,0,20
760,12,0,20
761,14,0,20
762,15,0,20
763,14,0,20
764,15,0,20
765,15,0,20
766,16,0,20
767,17,0,20
768,17,0,20
769,16,0,20
770,18,0,20
771,19,0,20
772,21,1,20
773,20,0,20
774,19,0,20
775,19,0,20
776,18,0,20
777,18,0,20
778,16,0,20
779,16,0,20
780,17,0,20
781,16,0,20
782,16,0,20
783,17,0,20
784,15,0,20
785,14,0,20
786,16,0,20
787,15,0,20
788,15,0,20
789,15,0,20
790,14,0,20
791,14,0,20
792,13,0,20
793,12,0,20
794,11,0,20
795,11,0,20
796,11,0,20
797,12,0,20
798,13,0,20
799,14,0,20
800,13,0,20
801,12,0,20
802,12,0,20
803,10,0,20
804,11,0,20
805,11,0,20
806,11,0,20
807,10,0,20
808,8,0,20
809,9,0,20
810,9,0,20
811,9,0,20
812,9,0,20
813,10,0,20
814,9,0,20
815,10,0,20
816,9,0,20
817,10,0,20
818,11,0,20
819,11,0,20
820,11,0,20
821,10,0,20
822,11,0,20
823,10,0,20
824,11,0,20
825,11,0,20
826,11,0,20
827,11,0,20
828,10,0,20
829,10,0,20
830,11,0,20
831,12,0,20
832,12,0,20
833,12,0,20
834,11,0,20
835,12,0,20
836,14,0,20
837,13,0,20
838,13,0,20
839,13,0,20
840,14,0,20
841,14,0,20
842,13,0,20
843,12,0,20
844,11,0,20
845,11,0,20
846,12,0,20
847,11,0,20
848,11,0,20
849,11,0,20
850,12,0,20
851,11,0,20
852,10,0,20
853,10,0,20
854,11,0,20
855,12,0,20
856,12,0,20
857,13,0,20
858,13,0,20
859,12,0,20
860,10,0,20
861,11,0,20
862,12,0,20
863,14,0,20
864,14,0,20
865,13,0,20
866,14,0,20
867,14,0,20
868,14,0,20
869,14,0,20
870,14,0,20
871,14,0,20
872,15,0,20
873,14,0,20
874,12,0,20
875,13,0,20
876,14,0,20
877,14,0,20
878,12,0,20
879,12,0,20
880,12,0,20
881,12,0,20
882,14,0,20
883,14,0,20
884,13,0,20
885,14,0,20
886,14,0,20
887,13,0,20
888,15,0,20
889,16,0,20
890,16,0,20
891,16,0,20
892,15,0,20
893,15,0,20
894,16,0,20
895,17,0,20
896,18,0,20
897,17,0,20
898,15,0,20
899,15,0,20
900,13,0,20
901,13,0,20
902,13,0,20
903,13,0,20
904,12,0,20
905,12,0,20
906,11,0,20
907,11,0,20
908,12,0,20
909,12,0,20
910,11,0,20
911,9,0,20
912,10,0,20
913,8,0,20
914,10,0,20
915,9,0,20
916,11,0,20
917,12,0,20
918,13,0,20
919,11,0,20
920,10,0,20
921,10,0,20
922,9,0,20
923,10,0,20
924,10,0,20
925,10,0,20
926,11,0,20
927,12,0,20
928,13,0,20
929,13,0,20
930,12,0,20
931,11,0,20
932,10,0,20
933,9,0,20
934,9,0,20
935,10,0,20
936,10,0,20
937,11,0,20
938,10,0,20
939,11,0,20
940,12,0,20
941,13,0,20
942,12,0,20
943,13,0,20
944,14,0,20
945,16,0,20
946,16,0,20
947,17,0,20
948,16,0,20
949,16,0,20
950,16,0,20
951,15,0,20
952,16,0,20
953,16,0,20
954,17,0,20
955,17,0,20
956,16,0,20
957,17,0,20
958,16,0,20
959,17,0,20
960,16,0,20
961,15,0,20
962,14,0,20
963,14,0,20
964,14,0,20
965,13,0,20
966,14,0,20
967,15,0,20
968,13,0,20
969,12,0,20
970,13,0,20
971,12,0,20
972,13,0,20
973,14,0,20
974,14,0,20
975,15,0,20
976,13,0,20
977,14,0,20
978,13,0,20
979,13,0,20
980,13,0,20
981,12,0,20
982,12,0,20
983,12,0,20
984,13,0,20
985,13,0,20
986,12,0,20
987,11,0,20
988,12,0,20
989,13,0,20
990,12,0,20
991,12,0,20
992,13,0,20
993,14,0,20
994,14,0,20
995,13,0,20
996,13,0,20
997,12,0,20
998,12,0,20
999,13,0,20
1000,13,0,20
1001,14,0,20
1002,14,0,20
1003,14,0,20
1004,14,0,20
1005,15,0,20
1006,16,0,20
1007,17,0,20
1008,18,0,20
1009,18,0,20
1010,17,0,20
1011,17,0,20
1012,16,0,20
1013,15,0,20
1014,15,0,20
1015,16,0,20
1016,16,0,20
1017,14,0,20
1018,14,0,20
1019,14,0,20
1020,13,0,20
1021,12,0,20
