record_id,signal_type,start_kmer_idx,end_kmer_idx,start_base,end_base,run_kmer_len,scale_used,mean_atcg
chr4q,strong,18632,18632,18632,18651,1,224.0,1.5
chr4q,strong,18772,18772,18772,18791,1,224.0,2.6363636363636362
chr4q,strong,18913,18913,18913,18932,1,224.0,0.9047619047619048
chr4q,strong,19054,19054,19054,19073,1,224.0,1.105263157894737
chr4q,strong,20696,20696,20696,20715,1,224.0,0.9047619047619048
chr4q,strong,23945,23945,23945,23964,1,224.0,1.0
chr4q,strong,25144,25144,25144,25163,1,224.0,0.9047619047619048
chr4q,strong,25288,25288,25288,25307,1,224.0,1.0
chr4q,strong,25438,25438,25438,25457,1,224.0,0.9047619047619048
chr4q,strong,25582,25582,25582,25601,1,224.0,0.9047619047619048
chr4q,strong,25722,25722,25722,25741,1,224.0,1.0
chr4q,strong,25848,25848,25848,25867,1,224.0,1.0
chr4q,strong,25967,25967,25967,25986,1,224.0,1.0
chr4q,strong,26086,26086,26086,26105,1,224.0,1.105263157894737
chr4q,strong,26668,26668,26668,26687,1,224.0,1.105263157894737
chr4q,strong,26804,26804,26804,26823,1,224.0,1.2222222222222223
chr4q,strong,26938,26938,26938,26957,1,224.0,0.9047619047619048
chr4q,strong,27067,27067,27067,27086,1,224.0,1.105263157894737
chr4q,strong,27190,27190,27190,27209,1,224.0,1.105263157894737
chr4q,strong,27300,27300,27300,27319,1,224.0,1.105263157894737
chr4q,strong,27437,27437,27437,27456,1,224.0,1.105263157894737
chr4q,strong,27570,27570,27570,27589,1,224.0,0.9047619047619048
chr4q,strong,27703,27703,27703,27722,1,224.0,0.9047619047619048
chr4q,strong,29272,29272,29272,29291,1,224.0,0.9047619047619048
chr4q,strong,29405,29405,29405,29424,1,224.0,1.105263157894737
chr4q,strong,29545,29545,29545,29564,1,224.0,1.0
chr4q,strong,29689,29689,29689,29708,1,224.0,1.0
chr4q,strong,29829,29829,29829,29848,1,224.0,1.0
chr4q,weak,5400,5400,5400,5419,1,224.0,1.105263157894737
chr4q,weak,5520,5520,5520,5539,1,224.0,0.8181818181818182
chr4q,weak,17023,17023,17023,17042,1,224.0,0.7391304347826086
chr4q,weak,18550,18550,18550,18569,1,224.0,2.6363636363636362
chr4q,weak,18695,18695,18695,18714,1,224.0,1.3529411764705883
chr4q,weak,18844,18844,18844,18863,1,224.0,0.9047619047619048
chr4q,weak,18990,18990,18990,19009,1,224.0,0.9047619047619048
chr4q,weak,19137,19137,19137,19156,1,224.0,1.105263157894737
chr4q,weak,19922,19922,19922,19941,1,224.0,1.0
chr4q,weak,20486,20486,20486,20505,1,224.0,1.0
chr4q,weak,20627,20627,20627,20646,1,224.0,1.0
chr4q,weak,20766,20766,20766,20785,1,224.0,1.0
chr4q,weak,20907,20907,20907,20926,1,224.0,1.0
chr4q,weak,21028,21028,21028,21047,1,224.0,1.105263157894737
