position,match_count,is_threshold_peak,threshold
0,17,0,23
1,17,0,23
2,17,0,23
3,17,0,23
4,17,0,23
5,18,0,23
6,16,0,23
7,15,0,23
8,15,0,23
9,14,0,23
10,14,0,23
11,13,0,23
12,13,0,23
13,14,0,23
14,13,0,23
15,13,0,23
16,14,0,23
17,14,0,23
18,13,0,23
19,14,0,23
20,16,0,23
21,17,0,23
22,18,0,23
23,18,0,23
24,18,0,23
25,16,0,23
26,15,0,23
27,16,0,23
28,17,0,23
29,18,0,23
30,18,0,23
31,17,0,23
32,17,0,23
33,16,0,23
34,17,0,23
35,18,0,23
36,17,0,23
37,17,0,23
38,18,0,23
39,19,0,23
40,20,0,23
41,20,0,23
42,21,0,23
43,21,0,23
44,21,0,23
45,19,0,23
46,18,0,23
47,17,0,23
48,18,0,23
49,19,0,23
50,18,0,23
51,17,0,23
52,18,0,23
53,17,0,23
54,15,0,23
55,14,0,23
56,15,0,23
57,16,0,23
58,17,0,23
59,17,0,23
60,16,0,23
61,15,0,23
62,15,0,23
63,14,0,23
64,15,0,23
65,15,0,23
66,14,0,23
67,15,0,23
68,15,0,23
69,15,0,23
70,15,0,23
71,14,0,23
72,15,0,23
73,16,0,23
74,17,0,23
75,18,0,23
76,19,0,23
77,21,0,23
78,22,0,23
79,21,0,23
80,19,0,23
81,18,0,23
82,18,0,23
83,17,0,23
84,17,0,23
85,15,0,23
86,15,0,23
87,13,0,23
88,13,0,23
89,13,0,23
90,14,0,23
91,15,0,23
92,14,0,23
93,13,0,23
94,13,0,23
95,14,0,23
96,15,0,23
97,15,0,23
98,16,0,23
99,16,0,23
100,16,0,23
101,14,0,23
102,15,0,23
103,17,0,23
104,17,0,23
105,17,0,23
106,16,0,23
107,15,0,23
108,17,0,23
109,16,0,23
110,16,0,23
111,16,0,23
112,15,0,23
113,16,0,23
114,15,0,23
115,16,0,23
116,17,0,23
117,17,0,23
118,19,0,23
119,21,0,23
120,22,0,23
121,23,0,23
122,25,0,23
123,27,0,23
124,28,1,23
