record_id,signal_type,start_kmer_idx,end_kmer_idx,start_base,end_base,run_kmer_len,scale_used,mean_atcg
chr3p,strong,123,123,123,142,1,382.0,1.105263157894737
chr3p,strong,1540,1540,1540,1559,1,382.0,1.105263157894737
chr3p,strong,1815,1815,1815,1834,1,382.0,0.42857142857142855
chr3p,strong,2084,2084,2084,2103,1,382.0,0.9047619047619048
chr3p,strong,2342,2342,2342,2361,1,382.0,0.6666666666666666
chr3p,strong,2575,2575,2575,2594,1,382.0,1.0
chr3p,weak,252,252,252,271,1,382.0,0.9047619047619048
chr3p,weak,505,505,505,524,1,382.0,0.9047619047619048
chr3p,weak,728,728,728,747,1,382.0,1.0
chr3p,weak,913,913,913,932,1,382.0,0.9047619047619048
chr3p,weak,1148,1148,1148,1167,1,382.0,1.0
chr3p,weak,1408,1408,1408,1427,1,382.0,1.105263157894737
chr3p,weak,1677,1677,1677,1696,1,382.0,0.9047619047619048
chr3p,weak,1947,1947,1947,1966,1,382.0,0.6
chr3p,weak,2217,2217,2217,2236,1,382.0,0.9047619047619048
chr3p,weak,2471,2476,2471,2495,6,382.0,0.8917748917748919
chr3p,weak,2704,2704,2704,2723,1,382.0,0.17647058823529413
chr3p,weak,2947,2947,2947,2966,1,382.0,0.14285714285714285
