position,match_count,is_threshold_peak,threshold
0,27,0,22
1,26,0,22
2,25,0,22
3,24,0,22
4,23,0,22
5,22,0,22
6,23,0,22
7,23,0,22
8,23,0,22
9,22,0,22
10,21,0,22
11,21,0,22
12,22,0,22
13,22,0,22
14,23,1,22
15,22,0,22
16,22,0,22
17,23,0,22
18,24,0,22
19,24,0,22
20,24,0,22
21,23,0,22
22,24,0,22
23,24,0,22
24,26,0,22
25,27,0,22
26,27,0,22
27,27,0,22
28,25,0,22
29,27,1,22
30,26,0,22
31,25,0,22
32,24,0,22
33,23,0,22
34,22,0,22
35,23,0,22
36,23,0,22
37,23,0,22
38,22,0,22
39,21,0,22
40,21,0,22
41,22,0,22
42,22,0,22
43,23,1,22
44,22,0,22
45,22,0,22
46,23,0,22
47,24,0,22
48,24,0,22
49,24,0,22
50,23,0,22
51,24,0,22
52,24,0,22
53,26,0,22
54,27,0,22
55,27,0,22
56,27,0,22
57,25,0,22
58,27,1,22
59,26,0,22
60,25,0,22
61,24,0,22
62,23,0,22
63,22,0,22
64,23,0,22
65,23,0,22
66,23,0,22
67,22,0,22
68,21,0,22
69,21,0,22
70,22,0,22
71,22,0,22
72,23,1,22
73,22,0,22
74,22,0,22
75,23,0,22
76,24,0,22
77,24,0,22
78,24,0,22
79,23,0,22
80,24,0,22
81,24,0,22
82,26,0,22
83,27,0,22
84,27,0,22
85,27,0,22
86,25,0,22
87,27,1,22
88,26,0,22
89,25,0,22
90,24,0,22
91,23,0,22
92,22,0,22
93,23,0,22
94,23,0,22
95,23,0,22
96,22,0,22
97,21,0,22
98,21,0,22
99,22,0,22
100,22,0,22
101,23,1,22
102,22,0,22
103,22,0,22
104,23,0,22
105,24,0,22
106,24,0,22
107,24,0,22
108,23,0,22
109,24,0,22
110,24,0,22
111,26,0,22
112,27,0,22
113,27,0,22
114,27,0,22
115,25,0,22
116,27,1,22
117,26,0,22
118,25,0,22
119,24,0,22
120,23,0,22
121,22,0,22
122,23,0,22
123,23,0,22
124,23,0,22
125,22,0,22
126,21,0,22
127,21,0,22
128,22,0,22
129,22,0,22
130,23,1,22
131,22,0,22
132,22,0,22
133,23,0,22
134,24,0,22
135,24,0,22
136,24,0,22
137,23,0,22
138,24,0,22
139,24,0,22
140,26,0,22
141,27,0,22
142,27,0,22
143,27,0,22
144,25,0,22
145,27,1,22
146,26,0,22
147,25,0,22
148,24,0,22
149,23,0,22
150,22,0,22
151,23,0,22
152,23,0,22
153,23,0,22
154,22,0,22
155,21,0,22
