position,match_count,is_threshold_peak,threshold
0,23,0,20
1,24,0,20
2,26,1,20
3,24,0,20
4,23,0,20
5,22,0,20
6,20,0,20
7,20,0,20
8,19,0,20
9,18,0,20
10,18,0,20
11,17,0,20
12,17,0,20
13,16,0,20
14,17,0,20
15,19,0,20
16,18,0,20
17,16,0,20
18,16,0,20
19,16,0,20
20,17,0,20
21,17,0,20
22,17,0,20
23,18,0,20
24,18,0,20
25,17,0,20
26,17,0,20
27,18,0,20
28,19,0,20
29,21,0,20
30,23,0,20
31,24,1,20
32,22,0,20
33,20,0,20
34,19,0,20
35,19,0,20
36,20,1,20
37,19,0,20
38,19,0,20
39,18,0,20
40,17,0,20
41,16,0,20
42,15,0,20
43,15,0,20
44,16,0,20
45,15,0,20
46,15,0,20
47,15,0,20
48,13,0,20
49,14,0,20
50,15,0,20
51,14,0,20
52,14,0,20
53,14,0,20
54,14,0,20
55,14,0,20
56,14,0,20
57,16,0,20
58,16,0,20
59,17,0,20
60,18,0,20
61,16,0,20
62,15,0,20
63,14,0,20
64,15,0,20
65,16,0,20
66,16,0,20
67,16,0,20
68,16,0,20
69,15,0,20
70,17,0,20
71,18,0,20
72,18,0,20
73,18,0,20
74,19,0,20
75,19,0,20
76,21,0,20
77,21,0,20
78,23,0,20
79,23,0,20
80,22,0,20
81,21,0,20
82,20,0,20
83,19,0,20
84,20,0,20
85,20,0,20
86,20,0,20
87,19,0,20
88,18,0,20
89,16,0,20
90,16,0,20
91,17,0,20
92,16,0,20
93,15,0,20
94,14,0,20
95,13,0,20
96,14,0,20
97,16,0,20
98,15,0,20
99,15,0,20
100,15,0,20
101,13,0,20
102,12,0,20
103,12,0,20
104,12,0,20
105,13,0,20
106,12,0,20
107,13,0,20
108,12,0,20
109,12,0,20
110,12,0,20
111,12,0,20
112,13,0,20
113,11,0,20
114,11,0,20
115,11,0,20
116,11,0,20
117,12,0,20
118,13,0,20
119,13,0,20
120,11,0,20
121,11,0,20
122,12,0,20
123,11,0,20
124,12,0,20
125,13,0,20
126,14,0,20
127,14,0,20
128,14,0,20
129,14,0,20
130,16,0,20
131,18,0,20
132,18,0,20
133,18,0,20
134,18,0,20
135,17,0,20
136,15,0,20
137,15,0,20
138,16,0,20
139,15,0,20
140,14,0,20
141,15,0,20
142,15,0,20
143,15,0,20
144,15,0,20
145,15,0,20
146,16,0,20
147,15,0,20
148,14,0,20
149,13,0,20
150,15,0,20
151,14,0,20
152,15,0,20
153,16,0,20
154,16,0,20
155,14,0,20
156,15,0,20
157,14,0,20
158,15,0,20
159,16,0,20
160,15,0,20
161,16,0,20
162,15,0,20
163,14,0,20
164,14,0,20
165,14,0,20
166,14,0,20
167,13,0,20
168,13,0,20
169,13,0,20
170,12,0,20
171,13,0,20
172,14,0,20
173,14,0,20
174,14,0,20
175,15,0,20
176,15,0,20
177,15,0,20
178,15,0,20
179,15,0,20
180,15,0,20
181,16,0,20
182,17,0,20
183,19,0,20
184,18,0,20
185,18,0,20
186,17,0,20
187,16,0,20
188,15,0,20
189,16,0,20
190,16,0,20
191,16,0,20
192,15,0,20
193,13,0,20
194,12,0,20
195,12,0,20
196,14,0,20
197,13,0,20
198,14,0,20
199,14,0,20
200,14,0,20
201,15,0,20
202,16,0,20
203,15,0,20
204,15,0,20
205,16,0,20
206,16,0,20
207,17,0,20
208,17,0,20
209,17,0,20
210,19,0,20
211,20,0,20
212,22,1,20
213,21,0,20
214,19,0,20
215,18,0,20
216,17,0,20
217,17,0,20
218,15,0,20
219,15,0,20
220,17,0,20
221,16,0,20
222,15,0,20
223,15,0,20
224,15,0,20
225,15,0,20
226,15,0,20
227,15,0,20
228,15,0,20
229,15,0,20
230,15,0,20
231,14,0,20
232,12,0,20
233,11,0,20
234,11,0,20
235,10,0,20
236,12,0,20
237,13,0,20
238,13,0,20
239,13,0,20
240,11,0,20
241,10,0,20
242,9,0,20
243,11,0,20
244,11,0,20
245,10,0,20
246,9,0,20
247,9,0,20
248,9,0,20
249,9,0,20
250,9,0,20
251,10,0,20
252,9,0,20
253,10,0,20
254,11,0,20
255,11,0,20
256,11,0,20
257,12,0,20
258,13,0,20
259,12,0,20
260,12,0,20
261,12,0,20
262,13,0,20
263,13,0,20
264,13,0,20
265,14,0,20
266,15,0,20
267,15,0,20
268,14,0,20
269,14,0,20
270,16,0,20
271,17,0,20
272,16,0,20
273,15,0,20
274,15,0,20
275,16,0,20
276,17,0,20
277,17,0,20
278,17,0,20
279,15,0,20
280,15,0,20
281,16,0,20
282,15,0,20
283,14,0,20
284,13,0,20
285,12,0,20
286,13,0,20
287,13,0,20
288,13,0,20
289,13,0,20
290,14,0,20
291,13,0,20
292,12,0,20
293,11,0,20
294,12,0,20
295,12,0,20
296,13,0,20
297,13,0,20
298,14,0,20
299,13,0,20
300,11,0,20
301,11,0,20
302,12,0,20
303,13,0,20
304,13,0,20
305,13,0,20
306,14,0,20
307,16,0,20
308,16,0,20
309,16,0,20
310,17,0,20
311,16,0,20
312,16,0,20
313,15,0,20
314,14,0,20
315,15,0,20
316,16,0,20
317,16,0,20
318,14,0,20
319,14,0,20
320,13,0,20
321,14,0,20
322,14,0,20
323,15,0,20
324,14,0,20
325,15,0,20
326,14,0,20
327,12,0,20
328,14,0,20
329,15,0,20
330,14,0,20
331,14,0,20
332,15,0,20
333,16,0,20
334,16,0,20
335,17,0,20
336,17,0,20
337,16,0,20
338,15,0,20
339,15,0,20
340,13,0,20
341,14,0,20
342,14,0,20
343,14,0,20
344,13,0,20
345,13,0,20
346,12,0,20
347,12,0,20
348,12,0,20
349,12,0,20
350,12,0,20
351,11,0,20
352,11,0,20
353,10,0,20
354,11,0,20
355,11,0,20
356,13,0,20
357,14,0,20
358,15,0,20
359,13,0,20
360,12,0,20
361,12,0,20
362,11,0,20
363,12,0,20
364,13,0,20
365,12,0,20
366,12,0,20
367,12,0,20
368,13,0,20
369,15,0,20
370,14,0,20
371,12,0,20
372,11,0,20
373,11,0,20
374,11,0,20
375,12,0,20
376,13,0,20
377,14,0,20
378,13,0,20
379,11,0,20
380,13,0,20
381,14,0,20
382,13,0,20
383,13,0,20
384,14,0,20
385,16,0,20
386,18,0,20
387,19,0,20
388,18,0,20
389,17,0,20
390,17,0,20
391,17,0,20
392,16,0,20
393,18,0,20
394,19,0,20
395,19,0,20
396,17,0,20
397,17,0,20
398,17,0,20
399,17,0,20
400,16,0,20
401,15,0,20
402,14,0,20
403,15,0,20
404,15,0,20
405,14,0,20
406,15,0,20
407,15,0,20
408,13,0,20
409,13,0,20
410,14,0,20
411,13,0,20
412,14,0,20
413,15,0,20
414,14,0,20
415,16,0,20
416,14,0,20
417,13,0,20
418,12,0,20
419,12,0,20
420,13,0,20
421,13,0,20
422,12,0,20
423,12,0,20
424,13,0,20
425,14,0,20
426,13,0,20
427,11,0,20
428,12,0,20
429,13,0,20
430,12,0,20
431,12,0,20
432,12,0,20
433,12,0,20
434,12,0,20
435,12,0,20
436,12,0,20
437,13,0,20
438,13,0,20
439,12,0,20
440,13,0,20
441,14,0,20
442,14,0,20
443,15,0,20
444,16,0,20
445,18,0,20
446,19,0,20
447,19,0,20
448,20,0,20
449,20,0,20
450,18,0,20
451,18,0,20
452,17,0,20
453,15,0,20
454,15,0,20
455,16,0,20
456,16,0,20
457,15,0,20
458,14,0,20
459,14,0,20
460,13,0,20
461,13,0,20
462,13,0,20
463,13,0,20
464,13,0,20
465,14,0,20
466,14,0,20
467,13,0,20
468,12,0,20
469,12,0,20
470,11,0,20
471,11,0,20
472,11,0,20
473,13,0,20
474,15,0,20
475,16,0,20
476,15,0,20
477,13,0,20
478,13,0,20
479,13,0,20
480,13,0,20
481,15,0,20
482,15,0,20
483,13,0,20
484,13,0,20
485,13,0,20
486,14,0,20
487,14,0,20
488,12,0,20
489,12,0,20
490,12,0,20
491,11,0,20
492,11,0,20
493,12,0,20
494,13,0,20
495,13,0,20
496,12,0,20
497,11,0,20
498,12,0,20
499,12,0,20
500,12,0,20
501,13,0,20
502,14,0,20
503,14,0,20
504,14,0,20
505,15,0,20
506,16,0,20
507,17,0,20
508,18,0,20
509,18,0,20
510,17,0,20
511,17,0,20
512,17,0,20
513,18,0,20
514,16,0,20
515,15,0,20
516,16,0,20
517,16,0,20
518,14,0,20
519,14,0,20
520,13,0,20
521,14,0,20
522,13,0,20
523,12,0,20
524,12,0,20
525,11,0,20
526,11,0,20
527,12,0,20
528,13,0,20
529,12,0,20
530,11,0,20
531,11,0,20
532,11,0,20
533,12,0,20
534,13,0,20
535,14,0,20
536,14,0,20
537,14,0,20
538,15,0,20
539,14,0,20
540,14,0,20
541,13,0,20
542,12,0,20
543,13,0,20
544,14,0,20
545,13,0,20
546,12,0,20
547,13,0,20
548,14,0,20
549,13,0,20
550,11,0,20
551,11,0,20
552,12,0,20
553,11,0,20
554,12,0,20
555,12,0,20
556,12,0,20
557,12,0,20
558,12,0,20
559,12,0,20
560,12,0,20
561,11,0,20
562,11,0,20
563,12,0,20
564,11,0,20
565,12,0,20
566,13,0,20
567,13,0,20
568,14,0,20
569,16,0,20
570,15,0,20
571,15,0,20
572,15,0,20
573,15,0,20
574,16,0,20
575,14,0,20
576,15,0,20
577,16,0,20
578,15,0,20
579,15,0,20
580,14,0,20
581,14,0,20
582,15,0,20
583,14,0,20
584,14,0,20
585,14,0,20
586,13,0,20
587,12,0,20
588,13,0,20
589,14,0,20
590,13,0,20
591,12,0,20
592,11,0,20
593,11,0,20
594,11,0,20
595,11,0,20
596,13,0,20
597,14,0,20
598,14,0,20
599,14,0,20
600,12,0,20
601,11,0,20
602,10,0,20
603,11,0,20
604,13,0,20
605,12,0,20
606,11,0,20
607,12,0,20
608,13,0,20
609,13,0,20
610,14,0,20
611,13,0,20
612,13,0,20
613,14,0,20
614,13,0,20
615,13,0,20
616,13,0,20
617,13,0,20
618,12,0,20
619,11,0,20
620,11,0,20
621,11,0,20
622,11,0,20
623,11,0,20
624,12,0,20
625,12,0,20
626,12,0,20
627,13,0,20
628,13,0,20
629,14,0,20
630,14,0,20
631,15,0,20
632,16,0,20
633,15,0,20
634,15,0,20
635,15,0,20
636,15,0,20
637,15,0,20
638,15,0,20
639,15,0,20
640,15,0,20
641,13,0,20
642,13,0,20
643,13,0,20
644,12,0,20
645,12,0,20
646,12,0,20
647,11,0,20
648,10,0,20
649,11,0,20
650,12,0,20
651,11,0,20
652,9,0,20
653,9,0,20
654,10,0,20
655,10,0,20
656,12,0,20
657,13,0,20
658,14,0,20
659,13,0,20
660,12,0,20
661,11,0,20
662,11,0,20
663,12,0,20
664,13,0,20
665,13,0,20
666,12,0,20
667,11,0,20
668,12,0,20
669,13,0,20
670,13,0,20
671,11,0,20
672,11,0,20
673,11,0,20
674,10,0,20
675,10,0,20
676,11,0,20
677,12,0,20
678,12,0,20
679,11,0,20
680,11,0,20
681,12,0,20
682,13,0,20
683,15,0,20
684,16,0,20
685,15,0,20
686,14,0,20
687,15,0,20
688,16,0,20
689,17,0,20
690,17,0,20
691,18,0,20
692,18,0,20
693,17,0,20
694,16,0,20
695,16,0,20
696,15,0,20
697,15,0,20
698,15,0,20
699,16,0,20
700,16,0,20
701,15,0,20
702,15,0,20
703,14,0,20
704,13,0,20
705,13,0,20
706,13,0,20
707,12,0,20
708,12,0,20
709,13,0,20
710,13,0,20
711,12,0,20
712,11,0,20
713,11,0,20
714,11,0,20
715,11,0,20
716,12,0,20
717,13,0,20
718,15,0,20
719,16,0,20
720,15,0,20
721,13,0,20
722,13,0,20
723,12,0,20
724,13,0,20
725,14,0,20
726,14,0,20
727,13,0,20
728,13,0,20
729,13,0,20
730,14,0,20
731,14,0,20
732,12,0,20
733,12,0,20
734,12,0,20
735,11,0,20
736,10,0,20
737,11,0,20
738,12,0,20
739,12,0,20
740,12,0,20
741,12,0,20
742,11,0,20
743,11,0,20
744,12,0,20
745,12,0,20
746,12,0,20
747,13,0,20
748,14,0,20
749,13,0,20
750,14,0,20
751,16,0,20
752,15,0,20
753,15,0,20
754,16,0,20
755,14,0,20
756,16,0,20
757,16,0,20
758,16,0,20
759,16,0,20
760,16,0,20
761,15,0,20
762,13,0,20
763,13,0,20
764,14,0,20
765,14,0,20
766,14,0,20
767,14,0,20
768,14,0,20
769,13,0,20
770,13,0,20
771,14,0,20
772,13,0,20
773,12,0,20
774,12,0,20
775,12,0,20
776,12,0,20
777,13,0,20
778,14,0,20
779,13,0,20
780,13,0,20
781,14,0,20
782,13,0,20
783,12,0,20
784,12,0,20
785,12,0,20
786,12,0,20
787,13,0,20
788,12,0,20
789,13,0,20
790,14,0,20
791,13,0,20
792,14,0,20
793,13,0,20
794,12,0,20
795,13,0,20
796,12,0,20
797,14,0,20
798,13,0,20
799,14,0,20
800,14,0,20
801,13,0,20
802,14,0,20
803,14,0,20
804,13,0,20
805,14,0,20
806,15,0,20
807,14,0,20
808,14,0,20
809,16,0,20
810,15,0,20
811,16,0,20
812,17,0,20
813,16,0,20
814,16,0,20
815,16,0,20
816,15,0,20
817,16,0,20
818,16,0,20
819,14,0,20
820,14,0,20
821,15,0,20
822,15,0,20
823,13,0,20
824,13,0,20
825,14,0,20
826,14,0,20
827,14,0,20
828,14,0,20
829,13,0,20
830,13,0,20
831,14,0,20
832,13,0,20
833,11,0,20
834,10,0,20
835,11,0,20
836,11,0,20
837,11,0,20
838,11,0,20
839,11,0,20
840,11,0,20
841,12,0,20
842,12,0,20
843,11,0,20
844,11,0,20
845,12,0,20
846,13,0,20
847,14,0,20
848,13,0,20
849,11,0,20
850,11,0,20
851,12,0,20
852,12,0,20
853,11,0,20
854,11,0,20
855,11,0,20
856,11,0,20
857,11,0,20
858,11,0,20
859,12,0,20
860,14,0,20
861,14,0,20
862,14,0,20
863,13,0,20
864,13,0,20
865,14,0,20
866,15,0,20
867,16,0,20
868,14,0,20
869,13,0,20
870,12,0,20
871,13,0,20
872,15,0,20
873,15,0,20
874,15,0,20
875,15,0,20
876,13,0,20
877,12,0,20
878,13,0,20
879,14,0,20
880,13,0,20
881,14,0,20
882,13,0,20
883,12,0,20
884,11,0,20
885,10,0,20
886,10,0,20
887,10,0,20
888,9,0,20
889,9,0,20
890,8,0,20
891,10,0,20
892,10,0,20
893,11,0,20
894,12,0,20
895,11,0,20
896,12,0,20
897,12,0,20
898,11,0,20
899,10,0,20
900,9,0,20
901,9,0,20
902,10,0,20
903,9,0,20
904,9,0,20
905,9,0,20
906,10,0,20
907,8,0,20
908,9,0,20
909,9,0,20
910,10,0,20
911,10,0,20
912,10,0,20
913,10,0,20
914,11,0,20
915,9,0,20
916,9,0,20
917,8,0,20
918,7,0,20
919,8,0,20
920,8,0,20
921,8,0,20
922,9,0,20
